iso_code,country,year,co2,income,gdp
TUV,Tuvalu,2018,0.011,UM,4.26E+07
NRU,Nauru,2018,0.05,UM,1.24E+08
STP,Sao Tome and Principe,2018,0.126,LM,4.12E+08
LIE,Liechtenstein,2018,0.144,H,6.88E+09
VUT,Vanuatu,2018,0.145,LM,9.15E+08
MHL,Marshall Islands,2018,0.153,UM,2.21E+08
TON,Tonga,2018,0.165,UM,4.89E+08
DMA,Dominica,2018,0.166,UM,5.51E+08
TCA,Turks and Caicos Islands,2018,0.238,H,1.11E+09
COM,Comoros,2018,0.246,LM,1.18E+09
KNA,Saint Kitts and Nevis,2018,0.249,H,1.01E+09
VCT,Saint Vincent and the Grenadines,2018,0.264,UM,8.11E+08
GRD,Grenada,2018,0.279,UM,1.17E+09
SLB,Solomon Islands,2018,0.298,LM,1.59E+09
CAF,Central African Republic,2018,0.3,L,2.22E+09
GNB,Guinea-Bissau,2018,0.309,L,1.46E+09
LCA,Saint Lucia,2018,0.362,UM,2.07E+09
DJI,Djibouti,2018,0.39,LM,3.01E+09
AND,Andorra,2018,0.464,H,3.22E+09
ATG,Antigua and Barbuda,2018,0.506,H,1.61E+09
GRL,Greenland,2018,0.512,H,3.05E+09
TLS,Timor,2018,0.52,LM,1.56E+09
GMB,Gambia,2018,0.563,L,1.67E+09
BDI,Burundi,2018,0.568,L,3.04E+09
SYC,Seychelles,2018,0.605,H,1.59E+09
CPV,Cape Verde,2018,0.61,LM,1.97E+09
BLZ,Belize,2018,0.612,UM,1.87E+09
BMU,Bermuda,2018,0.649,H,7.22E+09
SOM,Somalia,2018,0.658,L,4.20E+09
FRO,Faeroe Islands,2018,0.705,H,3.12E+09
ERI,Eritrea,2018,0.709,L,3.96E+08
SXM,Sint Maarten (Dutch part),2018,0.773,H,1.19E+09
ABW,Aruba,2018,0.943,H,5.70E+09
SWZ,Eswatini,2018,0.988,LM,4.67E+09
SLE,Sierra Leone,2018,0.988,L,4.09E+09
TCD,Chad,2018,1.008,L,1.12E+10
RWA,Rwanda,2018,1.08,L,9.64E+09
BRB,Barbados,2018,1.207,H,5.09E+09
LBR,Liberia,2018,1.274,L,3.26E+09
MWI,Malawi,2018,1.47,L,6.92E+09
MLT,Malta,2018,1.532,H,1.48E+10
SSD,South Sudan,2018,1.54,L,4.66E+09
MDV,Maldives,2018,1.565,UM,5.30E+09
BTN,Bhutan,2018,1.662,LM,2.45E+09
BHS,Bahamas,2018,2.03,H,1.30E+10
NER,Niger,2018,2.094,L,1.28E+10
MNE,Montenegro,2018,2.123,UM,5.50E+09
FJI,Fiji,2018,2.124,UM,5.58E+09
LTU,Macao,2018,2.216,H,5.51E+10
COD,Democratic Republic of Congo,2018,2.231,L,4.68E+10
GUY,Guyana,2018,2.343,UM,4.79E+09
LSO,Lesotho,2018,2.426,LM,2.58E+09
SUR,Suriname,2018,2.552,UM,3.46E+09
GIN,Guinea,2018,3.032,L,1.09E+10
TGO,Togo,2018,3.167,L,5.36E+09
PSE,Palestine,2018,3.22,LM,1.63E+10
MLI,Mali,2018,3.273,L,1.71E+10
HTI,Haiti,2018,3.367,L,1.60E+10
COG,Congo,2018,3.518,LM,1.35E+10
ISL,Iceland,2018,3.675,H,2.57E+10
MRT,Mauritania,2018,3.935,LM,7.05E+09
BFA,Burkina Faso,2018,4.14,L,1.61E+10
NAM,Namibia,2018,4.154,UM,1.35E+10
MDG,Madagascar,2018,4.188,L,1.39E+10
GAB,Gabon,2018,4.803,UM,1.69E+10
MUS,Mauritius,2018,4.902,UM,1.42E+10
NIC,Nicaragua,2018,5.377,LM,1.31E+10
UGA,Uganda,2018,5.385,L,3.29E+10
ALB,Albania,2018,5.403,UM,1.51E+10
