date,source,value
1950,coal,12.347
1950,natural gas,5.968
1950,petroleum,13.298
1950,nuclear,0
1950,renewables,2.978
1951,coal,12.553
1951,natural gas,7.049
1951,petroleum,14.408
1951,nuclear,0
1951,renewables,2.958
1952,coal,11.306
1952,natural gas,7.55
1952,petroleum,14.934
1952,nuclear,0
1952,renewables,2.94
1953,coal,11.373
1953,natural gas,7.907
1953,petroleum,15.532
1953,nuclear,0
1953,renewables,2.831
1954,coal,9.715
1954,natural gas,8.33
1954,petroleum,15.813
1954,nuclear,0
1954,renewables,2.754
1955,coal,11.167
1955,natural gas,8.998
1955,petroleum,17.225
1955,nuclear,0
1955,renewables,2.784
1956,coal,11.35
1956,natural gas,9.614
1956,petroleum,17.905
1956,nuclear,0
1956,renewables,2.851
1957,coal,10.821
1957,natural gas,10.191
1957,petroleum,17.898
1957,nuclear,0
1957,renewables,2.849
1958,coal,9.533
1958,natural gas,10.663
1958,petroleum,18.491
1958,nuclear,0.002
1958,renewables,2.915
1959,coal,9.518
1959,natural gas,11.717
1959,petroleum,19.28
1959,nuclear,0.002
1959,renewables,2.901
1960,coal,9.838
1960,natural gas,12.385
1960,petroleum,19.874
1960,nuclear,0.006
1960,renewables,2.928
1961,coal,9.623
1961,natural gas,12.926
1961,petroleum,20.169
1961,nuclear,0.02
1961,renewables,2.952
1962,coal,9.906
1962,natural gas,13.731
1962,petroleum,20.998
1962,nuclear,0.026
1962,renewables,3.117
1963,coal,10.413
1963,natural gas,14.403
1963,petroleum,21.645
1963,nuclear,0.038
1963,renewables,3.096
1964,coal,10.964
1964,natural gas,15.288
1964,petroleum,22.242
1964,nuclear,0.04
1964,renewables,3.225
1965,coal,11.581
1965,natural gas,15.769
1965,petroleum,23.184
1965,nuclear,0.043
1965,renewables,3.396
1966,coal,12.143
1966,natural gas,16.995
1966,petroleum,24.335
1966,nuclear,0.064
1966,renewables,3.432
1967,coal,11.914
1967,natural gas,17.945
1967,petroleum,25.274
1967,nuclear,0.088
1967,renewables,3.69
1968,coal,12.331
1968,natural gas,19.21
1968,petroleum,26.966
1968,nuclear,0.142
1968,renewables,3.773
1969,coal,12.382
1969,natural gas,20.678
1969,petroleum,28.321
1969,nuclear,0.154
1969,renewables,4.095
1970,coal,12.265
1970,natural gas,21.795
1970,petroleum,29.499
1970,nuclear,0.239
1970,renewables,4.07
1971,coal,11.598
1971,natural gas,22.469
1971,petroleum,30.539
1971,nuclear,0.413
1971,renewables,4.262
1972,coal,12.077
1972,natural gas,22.698
1972,petroleum,32.919
1972,nuclear,0.584
1972,renewables,4.382
1973,coal,12.971
1973,natural gas,22.512
1973,petroleum,34.806
1973,nuclear,0.91
1973,renewables,4.411
1974,coal,12.663
1974,natural gas,21.732
1974,petroleum,33.421
1974,nuclear,1.272
1974,renewables,4.742
1975,coal,12.663
1975,natural gas,19.948
1975,petroleum,32.699
1975,nuclear,1.9
1975,renewables,4.687
1976,coal,13.584
1976,natural gas,20.345
1976,petroleum,35.142
1976,nuclear,2.111
1976,renewables,4.727
1977,coal,13.922
1977,natural gas,19.931
1977,petroleum,37.083
1977,nuclear,2.702
1977,renewables,4.209
1978,coal,13.766
1978,natural gas,20
1978,petroleum,37.919
1978,nuclear,3.024
1978,renewables,5.005
1979,coal,15.04
1979,natural gas,20.666
1979,petroleum,37.075
1979,nuclear,2.776
1979,renewables,5.123
1980,coal,15.423
1980,natural gas,20.235
1980,petroleum,34.159
1980,nuclear,2.739
1980,renewables,5.428
1981,coal,15.908
1981,natural gas,19.747
1981,petroleum,31.884
1981,nuclear,3.008
1981,renewables,5.414
1982,coal,15.322
1982,natural gas,18.356
1982,petroleum,30.179
1982,nuclear,3.131
1982,renewables,5.98
1983,coal,15.894
1983,natural gas,17.221
1983,petroleum,29.997
1983,nuclear,3.203
1983,renewables,6.496
1984,coal,17.071
1984,natural gas,18.394
1984,petroleum,30.992
1984,nuclear,3.553
1984,renewables,6.438
1985,coal,17.478
1985,natural gas,17.703
1985,petroleum,30.866
1985,nuclear,4.076
1985,renewables,6.084
1986,coal,17.26
1986,natural gas,16.591
1986,petroleum,32.15
1986,nuclear,4.38
1986,renewables,6.111
1987,coal,18.008
1987,natural gas,17.64
1987,petroleum,32.817
1987,nuclear,4.754
1987,renewables,5.622
1988,coal,18.846
1988,natural gas,18.448
1988,petroleum,34.173
1988,nuclear,5.587
1988,renewables,5.457
1989,coal,19.07
1989,natural gas,19.602
1989,petroleum,34.164
1989,nuclear,5.602
1989,renewables,6.235
1990,coal,19.173
1990,natural gas,19.603
1990,petroleum,33.5
1990,nuclear,6.104
1990,renewables,6.04
1991,coal,18.992
1991,natural gas,20.033
1991,petroleum,32.789
1991,nuclear,6.422
1991,renewables,6.068
1992,coal,19.122
1992,natural gas,20.714
1992,petroleum,33.468
1992,nuclear,6.479
1992,renewables,5.821
1993,coal,19.835
1993,natural gas,21.229
1993,petroleum,33.588
1993,nuclear,6.41
1993,renewables,6.082
1994,coal,19.909
1994,natural gas,21.728
1994,petroleum,34.453
1994,nuclear,6.694
1994,renewables,5.987
1995,coal,20.089
1995,natural gas,22.671
1995,petroleum,34.341
1995,nuclear,7.075
1995,renewables,6.559
1996,coal,21.002
1996,natural gas,23.085
1996,petroleum,35.589
1996,nuclear,7.087
1996,renewables,7.012
1997,coal,21.445
1997,natural gas,23.223
1997,petroleum,36.065
1997,nuclear,6.597
1997,renewables,7.014
1998,coal,21.656
1998,natural gas,22.83
1998,petroleum,36.72
1998,nuclear,7.068
1998,renewables,6.491
1999,coal,21.623
1999,natural gas,22.909
1999,petroleum,37.732
1999,nuclear,7.61
1999,renewables,6.514
2000,coal,22.58
2000,natural gas,23.824
2000,petroleum,38.152
2000,nuclear,7.862
2000,renewables,6.104
2001,coal,21.914
2001,natural gas,22.773
2001,petroleum,38.084
2001,nuclear,8.029
2001,renewables,5.16
2002,coal,21.904
2002,natural gas,23.51
2002,petroleum,38.117
2002,nuclear,8.145
2002,renewables,5.726
2003,coal,22.321
2003,natural gas,22.831
2003,petroleum,38.707
2003,nuclear,7.96
2003,renewables,5.944
2004,coal,22.466
2004,natural gas,22.923
2004,petroleum,40.139
2004,nuclear,8.223
2004,renewables,6.075
2005,coal,22.797
2005,natural gas,22.565
2005,petroleum,40.217
2005,nuclear,8.161
2005,renewables,6.234
2006,coal,22.447
2006,natural gas,22.239
2006,petroleum,39.731
2006,nuclear,8.215
2006,renewables,6.637
2007,coal,22.749
2007,natural gas,23.663
2007,petroleum,39.368
2007,nuclear,8.459
2007,renewables,6.523
2008,coal,22.387
2008,natural gas,23.843
2008,petroleum,36.769
2008,nuclear,8.426
2008,renewables,7.175
2009,coal,19.691
2009,natural gas,23.416
2009,petroleum,34.779
2009,nuclear,8.355
2009,renewables,7.608
2010,coal,20.834
2010,natural gas,24.575
2010,petroleum,35.324
2010,nuclear,8.434
2010,renewables,8.267
2011,coal,19.658
2011,natural gas,24.955
2011,petroleum,34.627
2011,nuclear,8.269
2011,renewables,9.204
2012,coal,17.378
2012,natural gas,26.089
2012,petroleum,33.839
2012,nuclear,8.062
2012,renewables,8.847
2013,coal,18.039
2013,natural gas,26.805
2013,petroleum,34.398
2013,nuclear,8.244
2013,renewables,9.451
2014,coal,17.998
2014,natural gas,27.383
2014,petroleum,34.657
2014,nuclear,8.338
2014,renewables,9.74
2015,coal,15.549
2015,natural gas,28.191
2015,petroleum,35.371
2015,nuclear,8.337
2015,renewables,9.721
2016,coal,14.226
2016,natural gas,28.4
2016,petroleum,35.705
2016,nuclear,8.427
2016,renewables,10.363
2017,coal,13.837
2017,natural gas,28.055
2017,petroleum,36.051
2017,nuclear,8.419
2017,renewables,11.077
2018,coal,13.252
2018,natural gas,31.086
2018,petroleum,36.882
2018,nuclear,8.438
2018,renewables,11.301
2019,coal,11.315
2019,natural gas,32.098
2019,petroleum,36.718
2019,nuclear,8.462
2019,renewables,11.46
